"GroupName","DisplayName","UserPrincipalName","Department","JobTitle","AccountEnabled","UserId"
"SG-HR-Employees","Alice Johnson","alice.johnson@ntjhunghotmail.onmicrosoft.com","HR","HR Manager","True","7aa2ed2d-5b27-484b-af45-a1ce0c4be096"
"SG-HR-Employees","Grace Kim","grace.kim@ntjhunghotmail.onmicrosoft.com","HR","Recruiting Specialist","True","84f53f81-447c-49d4-a596-3f2d7d948c09"
"SG-Finance-Employees","Brian Lee","brian.lee@ntjhunghotmail.onmicrosoft.com","Finance","Finance Analyst","True","8fa302dc-77ad-4929-8e1f-1cfcbc6ee963"
"SG-Finance-Employees","Henry Brown","henry.brown@ntjhunghotmail.onmicrosoft.com","Finance","Accounts Payable Specialist","True","dbd479ed-863f-4230-a5fe-6e73310d97e6"
"SG-Sales-Employees","Emma Wilson","emma.wilson@ntjhunghotmail.onmicrosoft.com","Sales","Sales Representative","True","e8a5fa7e-b412-4e44-b18f-dc0f76ccb377"
"SG-Sales-Employees","Isabella Davis","isabella.davis@ntjhunghotmail.onmicrosoft.com","Sales","Account Executive","True","a65c9955-8fc8-4c80-8215-d67340baf9d8"
"SG-IT-Admins","Carlos Ramirez","carlos.ramirez@ntjhunghotmail.onmicrosoft.com","IT","Helpdesk Technician","True","5125cf6a-5a7e-452c-87cf-254eba087ce4"
"SG-Contractors","Dana Smith","dana.smith@ntjhunghotmail.onmicrosoft.com","Contractors","Project Contractor","True","f3776de9-ece0-4fe7-b4f9-0ed99fd77d5e"
"SG-Contractors","James Clark","james.clark@ntjhunghotmail.onmicrosoft.com","Contractors","Temporary IT Contractor","True","5f9fea6d-d222-48a6-914f-b52d33e9e147"
"SG-Executives","Frank Miller","frank.miller@ntjhunghotmail.onmicrosoft.com","Executives","Chief Financial Officer","True","89a1dffe-ce55-4c6e-86e9-18b6cfe1ccd4"
